customer_id,company_name,segment,industry,region,join_date,mrr,health_score,num_users,renewal_date,csm_assigned
C0267,Company 0267,SMB,Manufacturing,APAC,2020-02-05,914,83,28,2021-02-04,Priya Patel
C0268,Company 0268,Enterprise,Healthcare,EMEA,2021-05-08,22250,66,422,2022-05-08,Carlos Rivera
C0269,Company 0269,Mid-Market,Media,North America,2022-02-03,3314,60,45,2023-02-03,James O'Brien
C0270,Company 0270,Mid-Market,Healthcare,North America,2020-07-10,2544,80,31,2021-07-10,Sarah Chen
C0271,Company 0271,SMB,Retail,North America,2022-10-20,539,76,7,2023-10-20,Sarah Chen
C0272,Company 0272,Mid-Market,Logistics,APAC,2020-04-05,4791,62,35,2021-04-05,Sarah Chen
C0273,Company 0273,Enterprise,Education,North America,2021-02-28,18051,54,158,2022-02-28,Priya Patel
C0274,Company 0274,SMB,Media,APAC,2022-02-25,905,86,6,2023-02-25,Carlos Rivera
C0275,Company 0275,Enterprise,Media,EMEA,2020-06-04,24516,75,401,2021-06-04,Carlos Rivera
C0276,Company 0276,Enterprise,Manufacturing,LATAM,2022-10-01,23121,74,226,2023-10-01,Priya Patel
C0277,Company 0277,SMB,Media,North America,2021-08-27,275,45,18,2022-08-27,Priya Patel
C0278,Company 0278,Mid-Market,Retail,LATAM,2021-10-10,1374,45,20,2022-10-10,David Kim
C0279,Company 0279,Mid-Market,Manufacturing,North America,2020-09-28,2765,73,36,2021-09-28,Emma Thompson
C0280,Company 0280,Enterprise,Healthcare,APAC,2023-02-09,24596,100,171,2024-02-09,Emma Thompson
C0281,Company 0281,Enterprise,Media,LATAM,2020-06-22,23334,65,297,2021-06-22,Priya Patel
C0282,Company 0282,SMB,Retail,EMEA,2021-07-04,704,49,5,2022-07-04,Priya Patel
C0283,Company 0283,Mid-Market,Media,APAC,2022-09-18,2030,60,47,2023-09-18,David Kim
C0284,Company 0284,SMB,Technology,LATAM,2020-08-07,206,65,22,2021-08-07,Emma Thompson
C0285,Company 0285,Startup,Education,LATAM,2021-11-16,471,76,39,2022-11-16,Priya Patel
C0286,Company 0286,Mid-Market,Technology,LATAM,2021-10-05,4967,65,19,2022-10-05,David Kim
C0287,Company 0287,Startup,Technology,APAC,2022-02-09,452,60,24,2023-02-09,Marcus Johnson
C0288,Company 0288,Startup,Technology,EMEA,2023-01-31,286,80,14,2024-01-31,David Kim
C0289,Company 0289,SMB,Healthcare,LATAM,2022-10-19,510,55,17,2023-10-19,Priya Patel
C0290,Company 0290,SMB,Media,North America,2022-07-08,796,65,35,2023-07-08,Emma Thompson
C0291,Company 0291,SMB,Education,North America,2020-08-11,880,62,11,2021-08-11,Sarah Chen
C0292,Company 0292,SMB,Media,APAC,2022-05-31,300,56,15,2023-05-31,James O'Brien
C0293,Company 0293,Mid-Market,Media,LATAM,2023-04-20,1617,67,2,2024-04-19,David Kim
C0294,Company 0294,Enterprise,Media,North America,2020-08-25,16414,69,180,2021-08-25,David Kim
C0295,Company 0295,SMB,Logistics,APAC,2022-09-02,939,84,29,2023-09-02,Carlos Rivera
C0296,Company 0296,Enterprise,Financial Services,North America,2020-02-16,8583,93,414,2021-02-15,Priya Patel
C0297,Company 0297,Startup,Technology,EMEA,2023-02-04,336,62,30,2024-02-04,James O'Brien
C0298,Company 0298,SMB,Retail,EMEA,2022-06-04,955,79,13,2023-06-04,David Kim
C0299,Company 0299,SMB,Media,North America,2021-03-15,970,85,5,2022-03-15,Marcus Johnson
C0300,Company 0300,SMB,Retail,APAC,2021-10-29,316,56,43,2022-10-29,David Kim
